**********  SUMMARY ***********
	Start	end	run	blocks	util percent
PID0:	0	15089	2668	54	0.177
PID1:	117	27549	16587	42	0.605
PID2:	396	64781	44034	7	0.684
PID3:	1236	90841	26467	4	0.295
PID4:	1392	374678	48334	966	0.129
PID5:	1695	312070	38075	715	0.123
PID6:	2230	306549	34274	655	0.113
PID7:	2308	140372	25125	3	0.182
PID8:	3000	235203	47059	8	0.203
PID9:	3402	428206	31156	616	0.073
PID10:	3729	292784	7984	147	0.028
PID11:	3909	313401	20768	5	0.067
PID12:	4683	331938	12548	2	0.038
PID13:	4691	423809	15587	295	0.037
PID14:	4797	351106	10012	2	0.029
PID15:	5479	355942	874	17	0.002
PID16:	5644	484619	22327	427	0.047
PID17:	6451	386795	4625	87	0.012
PID18:	6851	651812	45598	952	0.071
PID19:	7307	668002	47252	932	0.072
PID20:	7735	402038	6365	1	0.016
PID21:	8142	708344	46703	917	0.067
PID22:	8432	644508	30894	637	0.049
PID23:	9286	577235	50814	6	0.089
PID24:	9991	703219	17784	361	0.026
PID25:	10638	687014	38899	6	0.058
PID26:	11131	747335	10239	201	0.014
PID27:	11739	809312	20880	411	0.026
PID28:	11750	766754	48288	9	0.064
PID29:	12465	959319	33969	650	0.036
PID30:	12665	810984	29737	5	0.037
PID31:	13626	1033083	38246	732	0.038
PID32:	13970	854267	28822	4	0.034
PID33:	14406	969643	18623	361	0.019
PID34:	15202	927510	36488	4	0.040
PID35:	15339	974103	25524	3	0.027
PID36:	15888	1186850	35015	711	0.030
PID37:	16870	1215990	39411	792	0.033
PID38:	16905	1031598	29674	4	0.029
PID39:	17670	1097252	43786	9	0.041
PID40:	18072	1145782	32617	4	0.029
PID41:	18504	1356787	35496	692	0.027
PID42:	18756	1453982	50344	994	0.035
PID43:	19695	1249215	51121	8	0.042
PID44:	20680	1438258	30937	603	0.022
PID45:	21109	1267162	9987	0	0.008
PID46:	21111	1354390	43336	6	0.033
PID47:	21737	1369105	2947	51	0.002
PID48:	21749	1401671	28656	4	0.021
PID49:	22643	1461883	43408	7	0.030
PID50:	23636	1643931	31600	620	0.020
PID51:	24164	1712294	42112	841	0.025
PID52:	24811	1515069	8376	166	0.006
PID53:	25563	1558271	54602	8	0.036
PID54:	26520	1795411	40453	790	0.023
PID55:	27289	1591233	18042	2	0.012
PID56:	28251	1622543	15082	3	0.009
PID57:	28985	0	46304	928	-1.598
PID58:	29944	1781279	23628	483	0.013
PID59:	30409	1675956	6339	125	0.004
PID60:	30720	1808104	24820	478	0.014
PID61:	31472	0	33465	683	-1.063
PID62:	31913	1842109	19716	375	0.011
PID63:	32720	1845523	39036	6	0.022
PID64:	33116	1903975	9560	188	0.005
Mean Time to Finish: 	29273
Total idle time:	30547
