**********  SUMMARY ***********
	Start	end	run	blocks	util percent
PID0:	0	1153275	45536	9	0.039
PID1:	522	614741	34328	7	0.056
PID2:	1355	1174894	40379	810	0.034
PID3:	2010	918085	32956	650	0.036
PID4:	2613	1222953	48215	8	0.040
PID5:	3060	396596	30805	4	0.078
PID6:	3832	1545078	49965	8	0.032
PID7:	4004	229316	16864	328	0.075
PID8:	4982	1411786	48920	6	0.035
PID9:	5970	1611613	44885	888	0.028
PID10:	6527	206891	19514	2	0.097
PID11:	6955	1349368	48916	6	0.036
PID12:	7656	246164	16235	315	0.068
PID13:	8251	294816	17183	332	0.060
PID14:	9040	11815	2507	1	0.903
PID15:	10023	1095911	39910	759	0.037
PID16:	10778	356638	26188	6	0.076
PID17:	10798	1613803	55510	8	0.035
PID18:	10993	41630	3924	82	0.128
PID19:	11733	235508	15790	309	0.071
PID20:	12279	73174	10955	1	0.180
PID21:	13107	571409	28441	560	0.051
PID22:	13677	1087604	43117	8	0.040
PID23:	14144	19882	4944	1	0.862
PID24:	14693	87065	11049	2	0.153
PID25:	14705	521137	24023	488	0.047
PID26:	15050	1290650	48558	8	0.038
PID27:	15526	33575	6598	0	0.366
PID28:	15715	593359	29425	590	0.051
PID29:	16125	667743	30730	629	0.047
PID30:	16357	50444	3992	77	0.117
PID31:	16462	263513	21312	4	0.086
PID32:	16540	114241	12669	2	0.130
PID33:	16703	39699	3036	57	0.132
PID34:	17394	1480489	49833	9	0.034
PID35:	18018	663790	32474	5	0.050
PID36:	18743	471181	21426	415	0.047
PID37:	19097	159441	10191	190	0.073
PID38:	19385	321295	23156	3	0.077
PID39:	19744	178504	10912	217	0.069
PID40:	20427	621952	30329	613	0.050
PID41:	21423	918638	32794	653	0.037
PID42:	22124	540587	31300	4	0.060
PID43:	22889	958354	41809	7	0.045
PID44:	23383	26837	2821	2	0.817
PID45:	23622	266225	16518	326	0.068
PID46:	24343	82416	6020	118	0.104
PID47:	24766	293316	21739	2	0.081
PID48:	25689	49287	6998	0	0.297
PID49:	26587	948738	33802	657	0.037
PID50:	27076	390259	19508	390	0.054
PID51:	27336	1018375	41824	9	0.042
PID52:	28256	99682	11520	2	0.161
PID53:	28551	742713	37289	6	0.052
PID54:	28735	874896	31881	629	0.038
PID55:	29434	736626	30690	614	0.043
PID56:	30209	1512417	42736	844	0.029
PID57:	30403	816728	37538	9	0.048
PID58:	30593	60781	7941	1	0.263
PID59:	31339	1283434	40978	827	0.033
PID60:	31481	135723	15677	3	0.150
PID61:	32263	66416	5347	88	0.157
Mean Time to Finish: 	594572
Total idle time:	1373
